,Title,Channel Title,Channel ID,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url,Comment ID,Comment,Likes,Replies,Video ID
13,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,Ugy5kBlxG7xNrWDu2bl4AaABAg,"I&#39;ve watched every upload of this game from the OTV channel to lily&#39;s, Yvonne&#39;s and now Sykkuno and it is still so entertaining and exciting every time. For me they are the real winners cause it was so unexpected for them to go into the finals and yet they did and it was not an easy fight they did not just let scarra&#39;s team win considering their team is stacked,  they did their best and it was amazing to see their group synergy and great comms.  Hope to see them play again together. Also Good job editor! this again is well edited, thanks for the different POVs. Really entertaining.",275,0,Kl2XzD5DMoY
14,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwXIqGJ23jMDc1EuMV4AaABAg,"team lily is literally the power of friendship (teamwork, same thing)",135,0,Kl2XzD5DMoY
15,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgxNJ9NoWFxrwetLwmF4AaABAg,The &quot;what if we could be winners for once&quot; hit too close to home 😭😭 You guys did great!,44,0,Kl2XzD5DMoY
16,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgxfGPol1_mULKwjNT94AaABAg,"You made it to the finals, I&#39;m really proud how much you guys improved since the last tournament, I&#39;ll have to say, Chamber is your agent, i hope someday i can play almost as good as you 😂 bc i really suck at this game but I love it 😅",79,0,Kl2XzD5DMoY
17,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgzPB9_tK0thoYX0E8x4AaABAg,"The games against Scarra and JoJo, my anxiety levels were going up and down with all the intense overtimes",91,0,Kl2XzD5DMoY
18,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgzgBdws8v7YeUCQmqx4AaABAg,I miss team Lily. They were such a good group 😢,71,0,Kl2XzD5DMoY
19,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgyBBRdqseao94siV-x4AaABAg,"I&#39;mma just put it out there, you and your friends are super awesome!",76,0,Kl2XzD5DMoY
20,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgwKNdLqlI7yBpCrsdp4AaABAg,"The teamwork was clearly awesome. The comms were on point, and all were so positive. I need more content from this squad🥺👍",19,0,Kl2XzD5DMoY
21,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgxZuQwmCZRZVKR7J_Z4AaABAg,"Sometimes winning is about upstaging expectations, and by that standard I&#39;d consider them the tournament champions. While there may not be a participation trophy, it was still an incredibly close last game.",24,0,Kl2XzD5DMoY
22,We are the lowest-ranked team in this Valorant tournament but...,Sykkuno,UCRAEUAmW9kletIzOxhpLRFw,2021-12-26T15:00:09Z,30:15,400,32336,769838,Kl2XzD5DMoY,https://www.youtube.com/watch?v=Kl2XzD5DMoY,UgzUR5JZcgNfMdOUeox4AaABAg,"i love how Syk is so humble and wholesome, but he is really good at the games he plays. &lt;3",22,0,Kl2XzD5DMoY
