Title,Channel Title,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url
SEN TenZ TRIES *NEW* AGENT HARBOR FOR FIRST TIME !!!,TenZ,2022-10-30T00:57:43Z,9:29,292,14670,332337,YJyaei8DKVA,https://www.youtube.com/watch?v=YJyaei8DKVA
HOW TO GET RADIANT IN 1 MATCH !!! | SEN TenZ,TenZ,2022-11-20T01:34:48Z,9:30,373,9250,221875,_249bkFgf2w,https://www.youtube.com/watch?v=_249bkFgf2w
IM BECOMING A YORU MAIN ??? | C9 TenZ,TenZ,2021-01-26T22:20:29Z,9:54,482,27713,863635,wZ3AQXB8Vj4,https://www.youtube.com/watch?v=wZ3AQXB8Vj4
TENZ & KYEDAE 1v1 REMATCH IN VALORANT !!!,TenZ,2022-09-29T00:01:18Z,11:52,720,36795,800358,FnbTxyJ4jGA,https://www.youtube.com/watch?v=FnbTxyJ4jGA
Confusing Radiant Streamers with Movement on Valorant,Flights,2022-05-24T14:00:35Z,7:12,2926,119429,3424121,K60xur_5IIQ,https://www.youtube.com/watch?v=K60xur_5IIQ
This is what 5000 hours of Raze looks like on Valorant,Flights,2021-12-16T15:30:07Z,7:2,1803,108589,3150552,_ycFZvVLyJQ,https://www.youtube.com/watch?v=_ycFZvVLyJQ
This is what a RADIANT Raze player looks like...,Flights,2022-04-06T14:29:16Z,8:9,1164,54467,1439435,ORaNu0juKw4,https://www.youtube.com/watch?v=ORaNu0juKw4
The NEW FASTEST Valorant player...,Flights,2022-03-07T15:43:08Z,8:8,1128,53097,1362078,CJFPeOEcbf0,https://www.youtube.com/watch?v=CJFPeOEcbf0
The FASTEST Raze player on Valorant,Flights,2021-10-13T14:30:16Z,7:44,3233,151171,5137368,tEpGvHxhHDw,https://www.youtube.com/watch?v=tEpGvHxhHDw
Grim walls vs. Radiant Streamers,Grim,2022-11-02T14:00:25Z,8:23,357,19254,485193,ob0aDpZ38zA,https://www.youtube.com/watch?v=ob0aDpZ38zA
"""Sage Is A Broken Agent""",Grim,2022-11-19T17:00:43Z,8:44,274,12628,268171,t4eYFPMF5yI,https://www.youtube.com/watch?v=t4eYFPMF5yI
The most aggressive Sage Walls on Valorant,Grim,2022-09-23T14:00:26Z,9:1,888,22052,514165,f4xU6cvx7MI,https://www.youtube.com/watch?v=f4xU6cvx7MI
"""Sage Your Walls Are Unfair""",Grim,2022-10-03T13:00:07Z,8:32,345,18521,464249,6vr8c3vzigE,https://www.youtube.com/watch?v=6vr8c3vzigE
Why Streamers Hate My Sage Walls,Grim,2022-08-24T13:00:33Z,9:11,740,32691,879059,hWDglcMCcwk,https://www.youtube.com/watch?v=hWDglcMCcwk
KYEDAE TRIES *NEW* AGENT HARBOR IN VALORANT !!!,Kyedae,2022-10-15T00:30:40Z,10:24,277,13589,365463,6xEw95MTG_0,https://www.youtube.com/watch?v=6xEw95MTG_0
Kyedae & TenZ GO UNDERCOVER IN VALORANT !!!,Kyedae,2022-06-11T22:59:58Z,9:37,448,32638,756163,dYy3TZ2D07s,https://www.youtube.com/watch?v=dYy3TZ2D07s
