,Comment ID,Comment,Likes,Replies
112,UgwAtoyl1Wmzv8AcsVp4AaABAg,"@<a href=""https://www.youtube.com/watch?v=DTuS6Bki9kI&amp;t=5m27s"">5:27</a> I love it when people complain about other people &quot;taking it too seriously&quot;. Just lol dude. Admit that they are better than you, instead of implying that you&#39;re not &quot;trying as hard as them&quot;.",205,11
113,Ugw3EPLEB-3Z18ACmfV4AaABAg,"as a boomer, this content is all i want. hiko and shroud thinking back cs days put a smile on my face.",21,0
114,UgxdYnHWtdYUViT-PLV4AaABAg,I love the fact they went &quot;omg imaging trying in a competitive game&quot; when losing - lmao.,8,0
115,Ugz3LPpk7rkT_LM-6gV4AaABAg,"Sinatra making excuses is so satisfying, the silence when they got destroyed is music to my ears",23,0
116,UgwQaCj5rtpZm1rmICV4AaABAg,"Feels like there&#39;s a new editor now for youtube videos or maybe the last one changed his ways, but the editing now actually does make the video more engaging and fun to watch! Huge props to the editor and all the team behind this channel! &lt;3",1,0
117,UgzpUhc6EGvQZm0tcc94AaABAg,"yo shroud i really love ur content keep it up, ur really my idol on valorant",1,0
118,Ugyy-SxBn4yH0TE2DK54AaABAg,"Sinatraa, the ranked only extraordinaire, trying to trash talk by saying someone is only good while playing ranked 💀",44,0
119,UgxvsSXwLp_vBrxE0wd4AaABAg,"I love how much trash they were talking, and then they were like, oh, they&#39;re tryharding 😂",6,0
120,UgxpQD0o2r2dgoSk5Bp4AaABAg,I like the new editing style also shroud &amp; hiko are the the best duo not even trolling ;),12,0
121,UgxK_ADh0Xn7cbP-8px4AaABAg,always a good time when shroud uploads,14,0
122,UgzzkCUWpVAZB8kdVaF4AaABAg,"I love the editing, keep it up!",0,0
123,UgwiXr7HEn5NtLtQC4V4AaABAg,"Reading the title i thought it was about  his teammates, but damn his teammate was so nice <a href=""https://www.youtube.com/watch?v=DTuS6Bki9kI&amp;t=8m37s"">8:37</a>",9,0
124,Ugz9BOTXyoAFFGDDm0d4AaABAg,ik they got crushed but it&#39;s crazy to me that dashy is able to play at such a high level in val while also being a pro cod player,3,0
125,UgwjBHLccmu1Blu_NhJ4AaABAg,i wish i had 9 minutes of shroud destroying ME,35,2
126,UgzL2Uus0w8oUslr7CF4AaABAg,Destroying trash talkers is one of the most satisfying things in any competitive fps 💪🏻😤,1,0
127,UgzPiE0rUpJHOpbDalh4AaABAg,dashy holding his own in radiant/immortal will never make sense to me to be that goated across two inputs is wild,5,1
128,UgzJ-kZrOlrueG3X_r14AaABAg,"I remember playing bodies in a scrim, very goated 🔥",0,0
129,UgyhaaXsVMRquifSk3J4AaABAg,Time by time its gettin sharp. The one and only FPS god,1,0
130,UgyRtprWwr8h7yiOyMp4AaABAg,This game and editing is so sweet,9,0
131,UgxHRvuKY2sQTOKYgxx4AaABAg,We would love to see both of u in a team with comms,5,0
