Title,Channel Title,Channel ID,Publish time,Duration,Number of comments,Number of likes,Number of views,video_id,url
I FINALLY GOT RADIANT,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2020-10-30T22:00:01Z,8:54,71,1953,81536,1and0iKQUdU,https://www.youtube.com/watch?v=1and0iKQUdU
JETT-ING MY WAY TO TOP 100 RADIANT,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-02-07T23:00:03Z,14:48,96,8304,276477,5YxWohqKSPw,https://www.youtube.com/watch?v=5YxWohqKSPw
PLAYING VALORANT WITH KESHI,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-03-29T22:00:07Z,15:10,133,3990,115797,8BfxegLbzRA,https://www.youtube.com/watch?v=8BfxegLbzRA
I JUST DON'T MISS!!,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-02-03T23:00:27Z,10:14,116,4918,133932,YzFN4-IP-OQ,https://www.youtube.com/watch?v=YzFN4-IP-OQ
I PLAYED IN THE VANGUARD VALORANT TOURNAMENT,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2020-05-11T21:00:11Z,10:46,10,118,3427,nzAUkvacTtY,https://www.youtube.com/watch?v=nzAUkvacTtY
THE PRO PLAYER CHALLENGE,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-08-24T22:30:00Z,8:32,77,3366,120321,Ah5-Wkbs_cg,https://www.youtube.com/watch?v=Ah5-Wkbs_cg
MEME MASTER PLAYS VALORANT,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2020-05-17T21:00:00Z,11:29,24,209,6526,ah6nFssxMT4,https://www.youtube.com/watch?v=ah6nFssxMT4
I'M CRACKED WITH REYNA,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2020-06-23T21:00:01Z,14,39,389,11739,5LVofYfip5A,https://www.youtube.com/watch?v=5LVofYfip5A
iiTzTimmy VS Shroud! WHO WINS?,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2021-06-20T21:00:03Z,15:1,140,4764,165735,8x7QyybFiPE,https://www.youtube.com/watch?v=8x7QyybFiPE
I'M CRACKED WITH REYNA,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2020-06-23T21:00:01Z,14,39,389,11739,5LVofYfip5A,https://www.youtube.com/watch?v=5LVofYfip5A
CHAMBER RANKED WITH TSM SUBROZA,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-08-30T22:00:15Z,8:19,58,2157,61763,b43Au_h0P-Y,https://www.youtube.com/watch?v=b43Au_h0P-Y
THE 5HP CLUTCH ft. tarik,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-11-24T23:00:00Z,8:58,56,1861,48716,-Ki5RntZ51s,https://www.youtube.com/watch?v=-Ki5RntZ51s
ALMOST VALORANT,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2020-05-03T21:00:13Z,10:20,22,206,5610,b55hejGJMg4,https://www.youtube.com/watch?v=b55hejGJMg4
SHROUD V2!?,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-03-10T23:00:29Z,8:40,169,7555,230488,pZRfbJEUegs,https://www.youtube.com/watch?v=pZRfbJEUegs
I'M SO CLOSE TO VALORANT,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2020-05-06T21:00:13Z,10:38,15,156,5154,S861BM-8dco,https://www.youtube.com/watch?v=S861BM-8dco
CHANNEL UPDATE + HIGH KILL VALORANT GAME,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2020-09-16T21:00:05Z,9:33,154,1512,18312,hao25010rdo,https://www.youtube.com/watch?v=hao25010rdo
SOLO BRONZE TO PREDATOR IN ONE STREAM | AGAIN BUT BETTER | PART 1,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2021-08-15T08:23:30Z,11:21,939,61059,2785231,mJkOe-9P8j0,https://www.youtube.com/watch?v=mJkOe-9P8j0
JETT MAIN?!?,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2020-04-17T21:00:01Z,13:16,43,222,5948,-khLycrgglQ,https://www.youtube.com/watch?v=-khLycrgglQ
I DROPPED A 7K DAMAGE GAME WITH POST MALONE,iiTzTimmy,UC5v2QgY2D5tlu8uws23MG4Q,2022-02-25T11:00:05Z,13:20,1796,94670,2852816,ANelzqwfMWI,https://www.youtube.com/watch?v=ANelzqwfMWI
SEN TenZ TRIES *NEW* AGENT HARBOR FOR FIRST TIME !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-10-30T00:57:43Z,9:29,292,14673,332525,YJyaei8DKVA,https://www.youtube.com/watch?v=YJyaei8DKVA
I FOUND THE PERFECT CROSSHAIR !!! | SEN TenZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-11-27T01:02:03Z,9:48,340,11552,252839,_QDQ9oockWk,https://www.youtube.com/watch?v=_QDQ9oockWk
HOW TO GET RADIANT IN 1 MATCH !!! | SEN TenZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-11-20T01:34:48Z,9:30,373,9278,222862,_249bkFgf2w,https://www.youtube.com/watch?v=_249bkFgf2w
IM BECOMING A YORU MAIN ??? | C9 TenZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2021-01-26T22:20:29Z,9:54,482,27714,863695,wZ3AQXB8Vj4,https://www.youtube.com/watch?v=wZ3AQXB8Vj4
TENZ & KYEDAE 1v1 REMATCH IN VALORANT !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-09-29T00:01:18Z,11:52,719,36807,800751,FnbTxyJ4jGA,https://www.youtube.com/watch?v=FnbTxyJ4jGA
SEN TenZ *NEW* MOUSE GRIP !!!,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-10-24T00:04:44Z,10:15,653,15970,444880,mD732CVqDmA,https://www.youtube.com/watch?v=mD732CVqDmA
THE VALORANT DREAM TEAM ??? | SEN TenZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-07-27T00:02:58Z,10:25,430,26742,650111,bnL9KsR4HM4,https://www.youtube.com/watch?v=bnL9KsR4HM4
HOW TO WIN ON FRACTURE EVERYTIME !!! | SEN TenZ,TenZ,UCckPYr9b_iVucz8ID1Q67sw,2022-06-29T23:23:05Z,10:44,307,14035,337666,ZQGVDX42TB0,https://www.youtube.com/watch?v=ZQGVDX42TB0
